Id;Id_bat;Time;x1;x2;x3;x4;x5
0;1;01/01/2016 00:00;1.5;8.1;22;380.183;20
1;1;01/01/2016 01:00;1.6;8.2;21.9;378.1;120
2;1;01/01/2016 02:00;1.4;7.9;21.9;374.983;120
3;1;01/01/2016 03:00;1.6;6.9;21.8;376.017;120
4;1;01/01/2016 04:00;1.4;6.3;21.8;376.017;120
5;1;01/01/2016 05:00;1.7;5.8;21.7;377.05;120
6;1;01/01/2016 06:00;1.6;5.3;21.7;382.267;120
7;1;01/01/2016 07:00;1.3;4.7;21.7;379.133;120
8;1;01/01/2016 08:00;1.6;5.1;21.7;383.3;120
9;1;01/01/2016 09:00;1.5;5.4;21.7;384.333;120
10;1;01/01/2016 10:00;1.5;5.7;21.6;386.433;147.224
11;1;01/01/2016 11:00;1.5;5.9;21.6;386.45;209.099
12;1;01/01/2016 12:00;1.5;6.2;21.5;381.233;262.312
13;1;01/01/2016 13:00;1.4;6.8;21.5;381.233;279.636
14;1;01/01/2016 14:00;1.6;7.4;21.5;376.017;190.536
15;1;01/01/2016 15:00;1.3;7.5;21.5;371.867;217.761
16;1;01/01/2016 16:00;1.7;7.8;21.5;367.667;158.361
17;1;01/01/2016 17:00;1.4;7.9;21.5;369.75;121.237
18;1;01/01/2016 18:00;1.3;7.6;21.5;362.483;120
19;1;01/01/2016 19:00;1.4;7.5;21.4;366.65;120
20;1;01/01/2016 20:00;1.6;7.4;21.4;367.683;120
21;1;01/01/2016 21:00;1.4;7.2;21.4;364.55;120
22;1;01/01/2016 22:00;1.4;6.9;21.3;363.5;120
23;1;01/01/2016 23:00;1.7;6.9;21.3;362.483;120
24;1;02/01/2016 00:00;1.4;7.1;21.2;360.4;120
25;1;02/01/2016 01:00;1.4;7.4;21.2;363.5;120
26;1;02/01/2016 02:00;1.5;7.3;21.2;357.283;120
27;1;02/01/2016 03:00;1.5;7.9;21.1;362.467;120
28;1;02/01/2016 04:00;1.2;8.1;21.1;360.383;120
29;1;02/01/2016 05:00;1.7;8.4;21.1;361.433;120
30;1;02/01/2016 06:00;1.4;8.6;21.1;357.267;120
31;1;02/01/2016 07:00;1.5;8.6;21.1;363.5;120
32;1;02/01/2016 08:00;1.4;8.7;21.1;363.517;120
33;1;02/01/2016 09:00;1.5;9;21.1;360.383;120
34;1;02/01/2016 10:00;1.5;9.5;21.1;358.3;188.062
35;1;02/01/2016 11:00;1.5;10.1;21;360.383;336.562
36;1;02/01/2016 12:00;1.4;10.5;21;357.25;394.725
37;1;02/01/2016 13:00;1.4;10.8;21.1;353.1;566.736
38;1;02/01/2016 14:00;1.5;10.9;21.1;354.133;373.686
39;1;02/01/2016 15:00;1.5;10.8;21.1;352.067;262.311
40;1;02/01/2016 16:00;1.5;10.4;21.1;349.967;185.586
41;1;02/01/2016 17:00;1.4;10.1;21.1;353.117;120
42;1;02/01/2016 18:00;1.6;9.1;21;356.233;120
43;1;02/01/2016 19:00;1.4;8.7;21;357.283;120
44;1;02/01/2016 20:00;1.5;8.8;21;353.1;120
45;1;02/01/2016 21:00;1.5;9.1;21;349.967;120
46;1;02/01/2016 22:00;1.5;9;21;352.067;120
47;1;02/01/2016 23:00;1.5;8.4;20.9;351.017;120
48;1;03/01/2016 00:00;1.4;7.8;20.9;351.017;120
49;1;03/01/2016 01:00;1.6;7.5;20.8;347.917;120
50;1;03/01/2016 02:00;1.6;7.5;20.8;353.1;120
51;1;03/01/2016 03:00;1.3;7.1;20.8;352.05;120
52;1;03/01/2016 04:00;1.6;6.9;20.8;355.183;120
53;1;03/01/2016 05:00;1.5;7;20.7;357.267;120
54;1;03/01/2016 06:00;1.3;6.5;20.7;353.1;120
55;1;03/01/2016 07:00;1.5;6.2;20.7;356.25;120
56;1;03/01/2016 08:00;1.6;6;20.6;353.117;120
57;1;03/01/2016 09:00;1.4;6.1;20.6;353.1;120
58;1;03/01/2016 10:00;1.5;6.5;20.6;356.233;127.424
59;1;03/01/2016 11:00;1.5;6.9;20.6;353.117;169.499
60;1;03/01/2016 12:00;1.3;7.4;20.5;354.133;227.662
61;1;03/01/2016 13:00;1.5;7.8;20.5;349.967;232.611
62;1;03/01/2016 14:00;1.4;8.1;20.5;352.05;201.673
63;1;03/01/2016 15:00;1.6;7.7;20.5;340.617;143.511
64;1;03/01/2016 16:00;1.3;7.4;20.5;347.883;129.898
65;1;03/01/2016 17:00;1.4;7.2;20.5;349.983;121.237
66;1;03/01/2016 18:00;1.7;7.2;20.4;341.65;120
67;1;03/01/2016 19:00;1.4;7.2;20.4;348.933;120
68;1;03/01/2016 20:00;1.3;7.6;20.4;341.633;120
69;1;03/01/2016 21:00;1.6;8.1;20.4;340.6;120
70;1;03/01/2016 22:00;1.5;8.3;20.4;344.767;120
71;1;03/01/2016 23:00;1.4;8.4;20.4;342.7;120
72;1;04/01/2016 00:00;1.5;8.4;20.4;341.633;120
73;1;04/01/2016 01:00;1.4;7.8;20.4;345.8;120
74;1;04/01/2016 02:00;1.6;7.5;20.3;341.667;120
75;1;04/01/2016 03:00;1.3;7.1;20.3;340.6;120
76;1;04/01/2016 04:00;1.6;6.6;20.3;344.767;120
77;1;04/01/2016 05:00;9.4;6.3;20.6;347.9;120
78;1;04/01/2016 06:00;12.1;6.4;21;353.117;120
79;1;04/01/2016 07:00;12.4;6.4;21.3;365.6;120
80;1;04/01/2016 08:00;12.2;5.9;21.7;382.283;120
81;1;04/01/2016 09:00;14;6.1;22.1;460.383;121.237
82;1;04/01/2016 10:00;16.8;6.5;22.3;560.4;227.661
83;1;04/01/2016 11:00;17.3;7.5;22.3;623.933;476.399
84;1;04/01/2016 12:00;17.7;8.4;22.4;619.767;525.898
85;1;04/01/2016 13:00;17.5;9.4;22.5;596.85;713.998
86;1;04/01/2016 14:00;17.6;10;22.7;620.817;603.861
87;1;04/01/2016 15:00;17.9;9.7;23;635.383;747.411
88;1;04/01/2016 16:00;17.9;9.7;23.2;655.183;373.686
89;1;04/01/2016 17:00;18.1;9.1;23.2;653.1;157.125
90;1;04/01/2016 18:00;17.6;8.2;23.1;615.6;120
91;1;04/01/2016 19:00;13.6;7.6;23;542.667;120
92;1;04/01/2016 20:00;1.6;7.1;22.6;643.717;120
93;1;04/01/2016 21:00;1.5;6.7;22.1;621.85;120
94;1;04/01/2016 22:00;1.5;6.4;21.7;590.6;120
95;1;04/01/2016 23:00;1.3;6.2;21.5;559.35;120
96;1;05/01/2016 00:00;1.5;6;21.3;541.633;120
97;1;05/01/2016 01:00;1.6;6.2;21.2;513.533;120
98;1;05/01/2016 02:00;1.3;6.1;21.1;491.65;120
99;1;05/01/2016 03:00;1.5;5.9;20.9;474.967;120
100;1;05/01/2016 04:00;1.6;6.2;20.8;457.283;120
101;1;05/01/2016 05:00;1.6;5.8;20.8;443.717;120
102;1;05/01/2016 06:00;1.2;6;21.1;431.217;120
103;1;05/01/2016 07:00;1.5;6.4;21.4;437.483;120
104;1;05/01/2016 08:00;5.4;6.4;21.7;456.217;120
105;1;05/01/2016 09:00;17.7;6.6;22.2;490.6;120
106;1;05/01/2016 10:00;17.8;7.1;22.6;573.933;128.662
107;1;05/01/2016 11:00;18;7.8;22.6;622.883;218.998
108;1;05/01/2016 12:00;17.8;8.5;22.7;631.233;404.624
109;1;05/01/2016 13:00;17.6;8.7;22.7;612.483;357.598
110;1;05/01/2016 14:00;17.8;9;22.8;636.45;527.137
111;1;05/01/2016 15:00;17.7;9.2;22.8;660.383;288.299
112;1;05/01/2016 16:00;17.9;9.2;22.9;680.2;194.249
113;1;05/01/2016 17:00;17.9;8.1;23;688.517;132.373
114;1;05/01/2016 18:00;17.8;7.8;22.9;633.3;120
115;1;05/01/2016 19:00;13.7;7.8;22.9;553.1;120
116;1;05/01/2016 20:00;1.6;7.8;22.5;689.55;120
117;1;05/01/2016 21:00;1.4;7.9;22.3;654.133;120
118;1;05/01/2016 22:00;1.6;7.6;22.1;610.4;120
119;1;05/01/2016 23:00;1.3;7.3;22;582.267;120
120;1;06/01/2016 00:00;1.6;7.3;21.9;556.233;120
121;1;06/01/2016 01:00;1.5;7.4;21.8;533.317;120
122;1;06/01/2016 02:00;1.4;7.4;21.7;516.65;120
123;1;06/01/2016 03:00;1.6;7.4;21.6;497.883;120
124;1;06/01/2016 04:00;1.4;7.5;21.6;480.183;120
125;1;06/01/2016 05:00;1.4;7.4;21.6;457.267;120
126;1;06/01/2016 06:00;1.4;7.3;21.8;453.117;120
127;1;06/01/2016 07:00;1.6;7.3;22;452.067;120
128;1;06/01/2016 08:00;5.3;7.3;22.1;465.6;120
129;1;06/01/2016 09:00;16.8;7.4;22.4;496.833;120
130;1;06/01/2016 10:00;16.7;7.4;22.7;570.817;121.237
131;1;06/01/2016 11:00;16.6;7.9;22.7;627.05;212.811
132;1;06/01/2016 12:00;16.8;8.6;22.7;639.567;374.925
133;1;06/01/2016 13:00;16.8;9.6;22.8;596.833;389.774
134;1;06/01/2016 14:00;16.8;9.8;22.9;653.1;320.474
135;1;06/01/2016 15:00;16.8;9.8;23;679.133;248.698
136;1;06/01/2016 16:00;16.8;9.4;23.2;684.35;320.474
137;1;06/01/2016 17:00;17.3;9.4;23.2;679.133;148.462
138;1;06/01/2016 18:00;16.8;8.8;23.2;638.533;120
139;1;06/01/2016 19:00;13.2;8.2;23.1;568.733;120
140;1;06/01/2016 20:00;1.5;8;22.9;706.217;120
141;1;06/01/2016 21:00;1.5;7.5;22.7;677.05;120
142;1;06/01/2016 22:00;1.4;7.5;22.4;632.283;120
143;1;06/01/2016 23:00;1.5;7.2;22.3;607.267;120
144;1;07/01/2016 00:00;1.4;6.9;22.2;574.967;120
145;1;07/01/2016 01:00;1.7;6.9;22.1;547.883;120
146;1;07/01/2016 02:00;1.3;7;22;534.35;120
147;1;07/01/2016 03:00;1.6;7.2;21.9;508.3;120
148;1;07/01/2016 04:00;1.5;7.1;21.8;491.667;120
149;1;07/01/2016 05:00;1.3;7;21.7;473.917;120
150;1;07/01/2016 06:00;1.6;7.1;22;459.333;120
151;1;07/01/2016 07:00;1.3;7.1;22.2;461.417;120
152;1;07/01/2016 08:00;5.1;6.8;22.3;480.2;120
153;1;07/01/2016 09:00;16.8;6.7;22.6;494.783;120
154;1;07/01/2016 10:00;16.8;6.8;22.9;573.917;120
155;1;07/01/2016 11:00;16.9;7.9;22.9;637.483;159.599
156;1;07/01/2016 12:00;16.5;10.9;23.2;618.733;847.649
157;1;07/01/2016 13:00;16.5;11.8;23.2;568.733;305.624
158;1;07/01/2016 14:00;15.8;11.3;23.3;573.933;292.012
159;1;07/01/2016 15:00;16.3;11.1;23.5;609.35;597.673
160;1;07/01/2016 16:00;16.1;10.9;23.7;630.2;350.174
161;1;07/01/2016 17:00;16.3;9.9;23.8;622.867;132.374
162;1;07/01/2016 18:00;15.8;8.7;23.7;573.933;120
163;1;07/01/2016 19:00;12.7;8.4;23.5;530.183;120
164;1;07/01/2016 20:00;1.4;7.8;23.3;734.333;120
165;1;07/01/2016 21:00;1.4;7.3;22.8;667.667;120
166;1;07/01/2016 22:00;1.5;6.7;22.4;627.05;120
167;1;07/01/2016 23:00;1.4;6.4;22.3;591.667;120
168;1;08/01/2016 00:00;1.7;6.1;22.2;567.683;120
169;1;08/01/2016 01:00;1.3;6;22.1;548.917;120
170;1;08/01/2016 02:00;1.5;5.6;22;524.983;120
171;1;08/01/2016 03:00;1.5;5.3;21.9;512.483;120
172;1;08/01/2016 04:00;1.5;4.5;21.8;496.85;120
173;1;08/01/2016 05:00;1.5;3.6;21.7;485.4;120
174;1;08/01/2016 06:00;1.4;3.7;21.7;487.467;120
175;1;08/01/2016 07:00;1.4;3.9;21.8;488.5;120
176;1;08/01/2016 08:00;1.7;4;21.8;551.017;120
177;1;08/01/2016 09:00;4;4;21.9;635.383;120
178;1;08/01/2016 10:00;16.2;4.3;22.3;590.583;209.099
179;1;08/01/2016 11:00;16.4;5.4;22.6;643.733;348.936
180;1;08/01/2016 12:00;16.6;6;22.8;650;556.836
181;1;08/01/2016 13:00;16.3;7.2;23;595.8;513.524
182;1;08/01/2016 14:00;16.3;8.3;23.1;627.067;657.073
